new_key,date,cruise_id,station,temp,sal,o2_ctd,nh4,no2,no3,no3_no2,po4,si,avg_chl_a,avg_phaeo
2014-12-05_WS14335_EKOFF,2014-12-05,WS14335,EKOFF,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_1,2015-04-13,WS15103,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2015-04-13_WS15103_10,2015-04-13,WS15103,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_11,2015-04-13,WS15103,11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_2,2015-04-13,WS15103,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_3,2015-04-13,WS15103,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_4,2015-04-13,WS15103,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_5,2015-04-13,WS15103,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2015-04-13_WS15103_5.5,2015-04-13,WS15103,5.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_6,2015-04-13,WS15103,6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_6.5,2015-04-13,WS15103,6.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2015-04-13_WS15103_7,2015-04-13,WS15103,7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_8,2015-04-13,WS15103,8,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_9,2015-04-13,WS15103,9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_9.5,2015-04-13,WS15103,9.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_EKIN,2015-04-13,WS15103,EKIN,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_EKMID,2015-04-13,WS15103,EKMID,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_MR,2015-04-13,WS15103,MR,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_UKIN,2015-04-13,WS15103,UKIN,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_UKMID,2015-04-13,WS15103,UKMID,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13_WS15103_UKOFF,2015-04-13,WS15103,UKOFF,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2015-04-14_WS15103_12,2015-04-14,WS15103,12,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_13,2015-04-14,WS15103,13,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_14,2015-04-14,WS15103,14,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_15,2015-04-14,WS15103,15,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_15.5,2015-04-14,WS15103,15.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2015-04-14_WS15103_16,2015-04-14,WS15103,16,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_17,2015-04-14,WS15103,17,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_18,2015-04-14,WS15103,18,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_19,2015-04-14,WS15103,19,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_20,2015-04-14,WS15103,20,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_21.5,2015-04-14,WS15103,21.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_21LK,2015-04-14,WS15103,21LK,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_22,2015-04-14,WS15103,22,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14_WS15103_22.5,2015-04-14,WS15103,22.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
