cruise_id,station,lat_dec,lon_dec,station_type
WS18218,18,24.578,81.1797,C
WS18285,18,24.5976,81.1867,C
WS18351,18,24.5975,81.1838,C
WS19119,18,24.6028,81.1837,C
WS19210,18,24.6007,81.184,C
WS19266,18,24.5983,81.1843,C
WS19322,18,24.601,81.1815,C
WS20006,18,24.5985,81.1838,C
WS20231,18,24.6013,81.1835,C
WS20279,18,24.5985,81.1828,C
WS20342,18,24.599,81.1852,C
WS21032,18,24.5963,81.1835,C
WS21093,18,24.5985,81.1828,C
WS21151,18,24.5985,81.1826,C
WS21212,18,24.599,81.1847,C
WS21278,18,24.598,81.184,C
WS21338,18,24.5976,81.1836,C
WS22022,18,24.5976,81.184,C
WS22072,18,24.5981,81.1837,C
WS22141,18,24.5997,81.1872,C
WB22215,18,24.5982,81.182,C
WS22281,18,24.599,81.1835,C
WS22337,18,24.5974,81.1845,C
WS23011,18,24.5973,81.1836,C
WS23061,18,24.5988,81.1806,C
HG23138,18,24.5984,81.1807,C
WS23203,18,24.598,81.1843,C
WS23259,18,24.5992,81.1836,C
HG23314,18,24.6007,81.1818,C
HG24013,18,24.5984,81.1825,C
HG24062,18,24.5984,81.1826,C
WS24139,18,24.5985,81.185,C
WS24205,18,24.5977,81.1802,C
WS24258,18,24.5982,81.1842,C
WS24314,18,24.598,81.1847,C
WS14335,19,24.6105,81.4196,F
WS15103,19,24.5928,81.421,F
WS15148,19,24.6091,81.4199,F
WS15208,19,24.6063,81.422,F
WS15264,19,24.6095,81.4209,F
WS15320,19,24.609,81.4221,F
WS16004,19,24.6099,81.4215,F
WS16074,19,24.609,81.4216,F
WS16130,19,24.6092,81.4194,F
WS16207,19,24.609,81.4219,F
WS16263,19,24.6083,81.4223,F
WS16319,19,24.6096,81.4211,F
WS17030,19,24.6095,81.4219,F
WS17086,19,24.6071,81.4221,F
WS17170,19,24.6096,81.4209,F
WS17212,19,24.6095,81.4213,F
WS17282,19,24.6099,81.4199,C
WS18008,19,24.6093,81.4232,F
SV18067,19,24.6078,81.4209,F
WS18120,19,24.6097,81.4204,F
SV18173,19,24.609,81.421,F
WS18218,19,24.6069,81.4224,F
WS18285,19,24.605,81.4219,F
WS18351,19,24.6098,81.4216,F
WS19119,19,24.608,81.4218,F
WS19210,19,24.6085,81.4229,F
WS19266,19,24.61,81.4187,F
WS19322,19,24.609,81.4203,F
WS20006,19,24.6087,81.4187,F
WS20231,19,24.6095,81.422,F
WS20279,19,24.6095,81.4205,F
WS20342,19,24.6057,81.4205,F
WS21032,19,24.6088,81.4193,F
