cruise_id,station,latitude,longitude
WS16207,7,24.8165,-80.7541666666667
WS16263,7,24.8165,-80.756
WS16319,7,24.817,-80.7565
WS17030,7,24.816,-80.7553333333333
WS17086,7,24.8146666666667,-80.7548333333333
WS17170,7,24.8176666666667,-80.7585
WS17212,7,24.8181666666667,-80.7541666666667
WS17282,7,24.818,-80.7565
WS18008,7,24.819,-80.758
WS18120,7,24.8158333333333,-80.7528333333333
WS18218,7,24.8163333333333,-80.754
WS18351,7,24.8148333333333,-80.7548333333333
WS19119,7,24.8156666666667,-80.7548333333333
WS19210,7,24.8173333333333,-80.7573333333333
WS19266,7,24.8151666666667,-80.7578333333333
WS19322,7,24.8168333333333,-80.7541666666667
WS20231,7,24.8155,-80.7581666666667
WS1418,7.B,24.8123333333333,-80.75
WS0603,70,24.9308333333333,-81.025
WS0612,70,24.9295,-81.0241666666667
WS1418,70,24.9296666666667,-81.025
WS15103,70,24.9303333333333,-81.0225
WS17282,70,24.9296666666667,-81.0253333333333
WS0603,71,24.9295,-80.9638333333333
WS0612,71,24.9301666666667,-80.9623333333333
WS0603,8,24.7916666666667,-80.7408333333333
WS0612,8,24.7915,-80.7415
WS0906,8,24.7921666666667,-80.7443333333333
WS1015,8,24.7628333333333,-80.723
WS1018,8,24.765,-80.7253333333333
WS15103,8,24.762,-80.7251666666667
WS15264,8,24.7905,-80.7406666666667
WS17282,8,24.791,-80.7451666666667
SAV1803,9,24.7601666666667,-80.7231666666667
WS0603,9,24.7631666666667,-80.7226666666667
WS0612,9,24.7628333333333,-80.7233333333333
WS0618,9,24.763,-80.7218333333333
WS0623,9,24.7633333333333,-80.7241666666667
WS0704,9,24.7656666666667,-80.7218333333333
WS0718,9,24.7666666666667,-80.7251666666667
WS0802,9,24.7641666666667,-80.7216666666667
WS0807,9,24.763,-80.7223333333333
WS0901,9,24.7621666666667,-80.7228333333333
WS0914,9,24.7636666666667,-80.7243333333333
WS0919,9,24.763,-80.7265
WS0923,9,24.76,-80.7253333333333
WS1004,9,24.7626666666667,-80.7248333333333
WS1007,9,24.7636666666667,-80.722
WS1102,9,24.7635,-80.7231666666667
WS1106,9,24.7631666666667,-80.7278333333333
WS1113,9,24.7648333333333,-80.7236666666667
WS1116,9,24.7621666666667,-80.7233333333333
WS1202,9,24.7635,-80.7253333333333
WS1207,9,24.7626666666667,-80.7251666666667
WS1212,9,24.7583333333333,-80.7275
WS15152,9,24.762,-80.724
WS15208,9,24.761,-80.7218333333333
WS15264,9,24.7601666666667,-80.7165
WS16004,9,24.7593333333333,-80.7226666666667
WS16074,9,24.7625,-80.7221666666667
WS16207,9,24.7623333333333,-80.7245
WS16263,9,24.762,-80.7215
